Penny Hill Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard),Production meter L-N voltage,Production meter L-L voltage,Production meter active power,"Schneider XC 680kW Inverter - 1A, Line kW","Schneider XC 680kW Inverter - 1B, Line kW","Schneider XC 680kW Inverter - 1C, Line kW"
,W/m²,°F,°F,mph,V,V,kW,kW,kW,kW
10/2/2023 8:15:00 PM,0,58.97249,65.4408,0,7593,13151.67,-3.980333,0,0,0
10/2/2023 8:30:00 PM,0,58.61679,64.66042,0,7604,13172.67,-3.996667,0,0,0
10/2/2023 8:45:00 PM,0,58.24023,64.07085,0,7613,13186.33,-4.001667,0,0,0
10/2/2023 9:00:00 PM,0,57.92378,63.47557,0,7602.667,13169.67,-3.998667,0,0,0
10/2/2023 9:15:00 PM,0,57.55807,63.08023,0,7597,13159,-3.991,0,0,0
10/2/2023 9:30:00 PM,0,57.12305,62.72032,0,7604.333,13171,-3.997667,0,0,0
10/2/2023 9:45:00 PM,0,56.64378,62.29985,0,7609,13178.67,-4.011667,0,0,0
10/2/2023 10:00:00 PM,0,56.15032,61.7537,0,7609.333,13181.67,-4.017,0,0,0
10/2/2023 10:15:00 PM,0,55.88564,61.28296,0,7613,13186,-4.017334,0,0,0
10/2/2023 10:30:00 PM,0,55.73034,60.94476,0,7619,13198.33,-4.024667,0,0,0
10/2/2023 10:45:00 PM,0,56.08687,61.13785,0,7624,13204.67,-4.029333,0,0,0
10/2/2023 11:00:00 PM,0,56.04178,61.24068,0,7621.667,13201,-4.021667,0,0,0
10/2/2023 11:15:00 PM,0,55.32204,60.79279,0,7617.333,13194.33,-4.020667,0,0,0
10/2/2023 11:30:00 PM,0,54.72004,60.28663,0,7613,13186.33,-4.015666,0,0,0
10/2/2023 11:45:00 PM,0,54.53384,59.91529,0,7609.667,13180,-4.006333,0,0,0
10/3/2023 12:00:00 AM,0,54.26414,59.56224,0,7612,13184.67,-4.016333,0,0,0
10/3/2023 12:15:00 AM,0,53.73561,59.1212,0,7623.667,13204.33,-4.032333,0,0,0
10/3/2023 12:30:00 AM,0,53.46592,58.775,0,7620.333,13198.33,-4.027,0,0,0
10/3/2023 12:45:00 AM,0,53.27889,58.51449,0,7618.333,13196.67,-4.026,0,0,0
10/3/2023 1:00:00 AM,0,52.92654,58.15572,0,7622.667,13203.33,-4.028666,0,0,0
10/3/2023 1:15:00 AM,0,52.67021,57.86551,0,7625.333,13207.33,-4.035,0,0,0
10/3/2023 1:30:00 AM,0,52.90984,57.88608,0,7617.667,13196,-4.029333,0,0,0
10/3/2023 1:45:00 AM,0,53.5586,58.2677,0,7619,13196.67,-4.029,0,0,0
10/3/2023 2:00:00 AM,0,53.29308,58.25627,0,7618,13195.67,-4.031333,0,0,0
10/3/2023 2:15:00 AM,0,52.93655,58.12487,0,7621,13198.67,-4.032333,0,0,0
10/3/2023 2:30:00 AM,0,52.6652,57.93978,0,7622.333,13203,-4.036,0,0,0
10/3/2023 2:45:00 AM,0,52.41721,57.73183,0,7624.667,13207,-4.042666,0,0,0
10/3/2023 3:00:00 AM,0,51.67326,57.1971,0,7625.667,13209.33,-4.042666,0,0,0
10/3/2023 3:15:00 AM,0,51.36516,56.7892,0,7616.333,13189.67,-4.026333,0,0,0
10/3/2023 3:30:00 AM,0,51.04036,56.36416,0,7615,13190.67,-4.029,0,0,0
10/3/2023 3:45:00 AM,0,51.0771,56.27961,0,7614,13187.33,-4.022666,0,0,0
10/3/2023 4:00:00 AM,0,50.69803,55.96997,0,7608.667,13180.67,-4.021333,0,0,0
10/3/2023 4:15:00 AM,0,50.75647,55.88999,0,7609.333,13182.33,-4.021333,0,0,0
10/3/2023 4:30:00 AM,0,50.6638,55.79515,0,7608,13180,-4.019667,0,0,0
10/3/2023 4:45:00 AM,0,50.53437,55.63291,0,7602.333,13169.33,-4.014667,0,0,0
10/3/2023 5:00:00 AM,0,50.18452,55.38497,0,7592,13151,-4.003667,0,0,0
10/3/2023 5:15:00 AM,0,49.98497,55.11532,0,7590.333,13146,-3.999333,0,0,0
10/3/2023 5:30:00 AM,0,50.16699,55.15531,0,7585,13138,-3.997333,0,0,0
10/3/2023 5:45:00 AM,0,49.90983,55.04791,0,7583,13134,-3.995,0,0,0
10/3/2023 6:00:00 AM,0,50.45171,55.33698,0,7558,13091,-3.973333,0,0,0
10/3/2023 6:15:00 AM,0,51.37685,55.96997,0,7549,13076.33,-3.969,0,0,0
10/3/2023 6:30:00 AM,0,50.63707,55.54265,0,7543.667,13064.67,-3.963333,0,0,0
10/3/2023 6:45:00 AM,0,49.87392,55.15188,0,7545.667,13071,-5.304,-0.56,-0.5166667,-0.56
10/3/2023 7:00:00 AM,0.177912,49.6585,54.9108,0,7537.667,13055.67,1.769,1.613333,1.783333,1.643333
10/3/2023 7:15:00 AM,10.3189,50.14027,54.83768,0,7548.667,13074,23.40233,8.746667,9.1,8.73
10/3/2023 7:30:00 AM,61.4686,52.66185,55.50608,0,7549,13073.33,72.22166,22.78,28.09333,24.40667
10/3/2023 7:45:00 AM,115.1091,57.01117,57.17882,0,7555.333,13085.67,175.8,53.11666,64.61,60.08
10/3/2023 8:00:00 AM,170.0839,62.07938,59.62051,0,7554.333,13084.67,311.5917,97.18667,110.66,105.4967
10/3/2023 8:15:00 AM,238.2242,65.25224,61.68972,1,7554,13083.33,465.6937,144.2167,162.22,160.1
10/3/2023 8:30:00 AM,299.5149,69.39614,63.46757,2,7555.333,13088,623.8567,203.9833,210.65,209.2133
10/3/2023 8:45:00 AM,360.4497,73.31795,64.82723,2,7550.667,13078.33,782.777,260.1067,262.6067,259.9167
10/3/2023 9:00:00 AM,420.1392,79.38145,66.66222,1,7547.333,13071.67,938.9464,312.5333,314.6867,311.5367
10/3/2023 9:15:00 AM,476.1815,88.0834,68.8594,2,7548.667,13075.33,1079.519,359.3733,361.94,359.3
10/3/2023 9:30:00 AM,528.3987,96.31612,71.19254,2,7546,13072.33,1204.395,401.91,403.4933,400.2567
