Briarwood Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station (Standard),Production meter L-N voltage,Production meter active power,"SunGrow SG125HV Inverter - 1, Line kW","SunGrow SG125HV Inverter - 2, Line kW","SunGrow SG125HV Inverter - 3, Line kW","SunGrow SG125HV Inverter - 4, Line kW","SunGrow SG125HV Inverter - 5, Line kW","SunGrow SG125HV Inverter - 6, Line kW","SunGrow SG125HV Inverter - 7, Line kW","SunGrow SG125HV Inverter - 8, Line kW","SunGrow SG125HV Inverter - 9, Line kW","SunGrow SG125HV Inverter - 10, Line kW","SunGrow SG125HV Inverter - 11, Line kW","SunGrow SG125HV Inverter - 12, Line kW","SunGrow SG125HV Inverter - 13, Line kW","SunGrow SG125HV Inverter - 14, Line kW","SunGrow SG125HV Inverter - 15, Line kW","SunGrow SG125HV Inverter - 16, Line kW"
9/1/2023 4:00:00 PM,607.0978,33.4189,84.38224,2,7.593967,1225.054,78.88673,68.64842,87.72047,76.48833,85.45987,76.16014,70.86475,0,85.53857,87.33888,87.6194,88.04378,86.60331,90.25484,83.42445,84.31857
9/1/2023 4:15:00 PM,652.4921,38.0982,85.33674,2,7.592555,1244.611,77.64376,70.49172,90.49075,80.59155,90.01084,80.2444,73.56297,0,91.41065,83.88037,84.0748,84.11005,83.69659,88.09973,82.3024,86.19234
9/1/2023 4:30:00 PM,610.0729,36.9754,85.28403,2,7.598276,1132.949,76.78133,67.60474,80.41006,72.36981,78.29816,71.25699,66.95088,0,77.12201,81.13014,81.40349,82.11831,80.37507,82.54697,77.25105,79.072
9/1/2023 4:45:00 PM,689.0322,41.65875,85.83978,2,7.599136,1275.296,86.83244,76.75964,90.13161,81.97346,86.60117,78.57732,71.55795,0,81.08132,93.25388,94.18013,95.79657,93.84084,95.49342,89.22939,87.10178
9/1/2023 5:00:00 PM,325.6556,34.74195,84.64681,2,7.594833,616.8339,38.76099,34.06285,44.44743,39.15372,43.81103,38.37846,34.94212,0,41.33818,44.10168,44.20403,44.786,44.50177,46.71621,42.95788,43.37751
9/1/2023 5:15:00 PM,350.5421,29.68578,83.57182,1,7.604789,657.8989,44.02559,37.81893,48.90469,42.61473,46.59578,40.20602,36.51237,0,42.56398,47.39294,47.63972,47.77158,47.26369,49.42309,44.88861,45.45533
9/1/2023 5:30:00 PM,428.5658,31.3026,83.57847,1,7.615485,832.8277,52.84169,46.80731,60.86909,53.72583,59.46014,51.86001,47.08661,0,55.99379,58.61693,58.67202,59.16337,59.25982,62.18657,57.5448,57.61374
9/1/2023 5:45:00 PM,602.578,35.1458,84.0751,1,7.598416,1114.32,68.62612,66.28278,82.92873,77.56187,83.261,77.32751,68.34626,0,77.39595,71.27944,73.60865,73.81384,74.45599,77.77065,73.36755,75.93992
9/1/2023 6:00:00 PM,345.7031,33.9292,83.79346,1,7.586093,662.5519,39.17097,36.05165,46.76609,41.46389,46.44751,40.96136,36.21771,0,39.91856,48.10819,48.98312,49.66423,50.04495,52.26144,48.37003,47.05577
9/1/2023 6:15:00 PM,299.4149,28.13461,82.87865,1,7.587953,420.8092,34.07139,32.30043,41.51892,36.65182,40.65758,34.86936,29.26283,0,30.93928,41.17511,42.0797,42.78991,43.48229,44.97211,39.31274,37.70517
9/1/2023 6:30:00 PM,451.2553,28.30199,82.47139,0,7.609097,773.4966,47.2403,48.2969,60.87839,55.71413,61.20393,51.31863,32.98155,0,34.29572,56.08733,56.08283,58.52117,63.39073,65.79937,45.68914,46.19482
9/1/2023 6:45:00 PM,366.0354,29.85134,82.94411,1,7.608028,574.5163,37.11292,37.52274,47.96341,43.9,47.03464,36.37905,22.1313,0,23.46953,43.22829,42.429,45.08529,49.08208,48.26774,29.31486,29.12438
9/1/2023 7:00:00 PM,144.7275,24.94226,82.04881,0,7.583799,235.3962,15.76549,14.52298,18.90986,16.85976,17.93669,14.14553,11.84015,0,12.7005,17.69431,17.77267,18.44002,18.35431,18.20135,14.25727,14.06027
9/1/2023 7:15:00 PM,50.52156,20.00237,79.74747,0,7.594848,85.94686,5.766629,4.948817,6.507216,5.728623,6.372362,5.688277,5.344786,0,6.096681,6.468955,6.570271,6.680643,6.540655,6.816281,6.354795,6.460833
9/1/2023 7:30:00 PM,19.69462,16.14977,77.16969,0,7.597656,27.08159,2.064017,1.74528,2.356543,2.066024,2.29108,2.062817,2.002244,0,2.174769,2.333693,2.362598,2.434853,2.351437,2.441144,2.347558,2.470769
9/1/2023 7:45:00 PM,6.20062,13.5628,74.9873,0,7.582038,3.932117,0.5576574,0.4623934,0.716067,0.6509941,0.6807321,0.640972,0.6404496,0,0.5925354,0.7075954,0.6968393,0.7560949,0.6848572,0.6887788,0.7823263,0.715426
9/1/2023 8:00:00 PM,1.14316,11.84523,72.62978,0,7.563467,-2.765274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251472,0
9/1/2023 8:15:00 PM,0.6063335,11.03627,70.73941,0,7.568179,-2.778636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 8:30:00 PM,0.2057849,10.82469,68.93812,0,7.581544,-2.792766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 8:45:00 PM,-0.1432105,10.90519,67.9477,0,7.596103,-2.807503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 9:00:00 PM,0.1708304,11.25196,67.53379,0,7.595852,-2.807529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 9:15:00 PM,0.04617279,11.4115,67.31149,0,7.595868,-2.807043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 9:30:00 PM,-0.1445714,11.30698,67.06205,0,7.605945,-2.816807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 9:45:00 PM,-0.1009049,11.17155,66.73863,0,7.578098,-2.791854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 10:00:00 PM,0.1682857,11.12961,66.51311,0,7.583878,-2.798556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 10:15:00 PM,0.03272639,11.01896,66.27843,0,7.575732,-2.792621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 10:30:00 PM,0.09906814,10.77325,65.98226,0,7.570528,-2.788525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 10:45:00 PM,0.1402727,10.37259,65.63853,0,7.572264,-2.791386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 11:00:00 PM,0.04570507,10.18874,65.23618,0,7.565583,-2.786848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 11:15:00 PM,0.05414763,9.866655,64.83219,0,7.580828,-2.802652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 11:30:00 PM,-0.0261543,10.04298,64.57879,0,7.600203,-2.821807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2023 11:45:00 PM,-0.3108103,10.25973,64.51853,0,7.609991,-2.832482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 12:00:00 AM,-0.3376143,10.32261,64.51187,0,7.583123,-2.806043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
