Brush Creek Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard without POA),Production meter L-L voltage,Production meter active power,"Inverter - 1 CPS SCH125KTL, Active Power","Inverter - 2 CPS SCH125KTL, Active Power","Inverter - 3 CPS SCH125KTL, Active Power","Inverter - 4 CPS SCH125KTL, Active Power","Inverter - 5 CPS SCH125KTL, Active Power","Inverter - 6 CPS SCH125KTL, Active Power","Inverter - 7 CPS SCH125KTL, Active Power","Inverter - 8 CPS SCH125KTL, Active Power","Inverter - 9 CPS SCH125KTL, Active Power","Inverter - 10 CPS SCH125KTL, Active Power","Inverter - 11 CPS SCH125KTL, Active Power","Inverter - 12 CPS SCH125KTL, Active Power","Inverter - 13 CPS SCH100KTL, Active Power","Inverter - 14 CPS SCH100KTL, Active Power","Inverter - 15 CPS SCH125KTL, Active Power","Inverter - 16 CPS SCH125KTL, Active Power","Inverter - 17 CPS SCH125KTL, Active Power","Inverter - 18 CPS SCH125KTL, Active Power"
9/1/2023 2:45:00 PM,816.9047,92.87681,81.53294,7,12.80197,1654.162,103.6517,87.93867,104.2861,86.88975,90.92941,102.5946,98.46336,99.43885,101.2876,99.50317,91.7475,104.8936,73.20392,72.53355,84.05645,98.24367,97.15684,75.57098
9/1/2023 3:00:00 PM,875.4719,93.97,82.68369,7,12.86596,1777.598,110.9369,92.44513,110.3965,92.44857,98.57033,111.3618,105.8498,107.4197,111.9276,109.0221,99.10404,113.3765,77.74303,77.09077,89.21403,105.3987,104.6722,79.09443
9/1/2023 3:15:00 PM,854.0306,92.95413,82.29413,8,12.82778,1673.295,108.8872,90.66371,106.4936,88.08819,94.47659,108.1207,100.1117,102.1372,109.9812,107.1091,95.85443,110.2151,72.77272,71.11958,81.69177,97.65744,96.75285,71.92102
9/1/2023 3:30:00 PM,880.2571,93.92903,82.7623,8,12.85011,1758.665,111.848,91.68955,108.5149,89.54523,97.36132,111.0998,105.3243,106.5564,107.1142,103.6444,96.08395,111.3782,75.99937,75.99355,87.09848,105.4287,105.303,77.3024
9/1/2023 3:45:00 PM,877.4185,96.11547,82.91556,7,12.86572,1755.359,112.2378,91.58295,109.4976,90.57909,97.13772,111.0597,103.9292,106.8221,112.6408,107.6478,98.61832,113.785,76.28482,75.5749,85.08591,104.2983,104.1739,75.90374
9/1/2023 4:00:00 PM,873.6124,95.79122,82.88783,7,12.86734,1745.78,111.2521,90.67516,108.3201,89.61366,95.68305,109.8833,101.9996,106.1835,112.4358,106.6929,98.54872,113.6117,76.39072,75.4739,83.83021,103.7271,104.0998,75.8765
9/1/2023 4:15:00 PM,867.9866,94.71879,82.54223,7,12.84997,1734.522,111.613,91.025,107.8535,89.03471,94.96954,110.2267,101.6797,105.7564,111.88,105.37,97.69409,112.9712,75.82919,74.67632,81.84148,102.3314,103.1518,75.44628
9/1/2023 4:30:00 PM,857.8354,94.01889,82.47131,7,12.85079,1708.768,110.8318,89.96005,106.3451,87.68256,93.3613,109.2379,99.81309,104.2682,110.6911,103.3062,96.26608,111.5132,74.79317,73.45871,79.42615,100.3075,101.6214,74.38464
9/1/2023 4:45:00 PM,840.5587,94.14874,82.38432,7,12.88439,1671.289,108.5942,87.76389,103.4014,85.26827,90.55414,107.3899,97.17149,102.0701,108.4608,100.6685,94.13857,109.7114,73.3528,71.89005,76.95749,98.06133,99.51067,72.94123
9/1/2023 5:00:00 PM,817.1056,94.11542,82.41156,6,12.92269,1617.322,101.849,85.74006,100.6419,83.03362,87.9493,104.713,94.60397,99.88411,104.6311,97.08916,91.93064,106.7772,71.55179,69.96881,72.2294,94.13633,97.49698,71.46942
9/1/2023 5:15:00 PM,760.8118,94.12385,81.66106,7,12.87113,1270.605,48.75708,73.7245,90.97683,76.80657,80.67862,91.38249,78.46786,85.71708,65.195,71.8372,84.13221,89.27145,48.76172,54.05255,38.79876,69.41856,81.62627,61.42411
9/1/2023 5:30:00 PM,612.6396,90.58262,80.74127,8,12.82189,766.9606,25.19583,37.18389,65.75442,60.1275,64.58527,58.20816,38.50576,56.93327,25.90067,36.90366,59.5787,49.12229,24.19003,30.18064,21.2167,40.637,43.38388,41.23061
9/1/2023 5:45:00 PM,579.2496,89.60275,80.49113,7,12.78399,493.4745,24.29745,24.19167,46.85675,40.25305,43.91326,31.61926,17.201,48.83657,15.97433,22.23452,39.57712,23.09372,14.15175,25.02427,18.93897,21.32928,18.50981,24.70422
9/1/2023 6:00:00 PM,492.5853,88.86787,80.36396,6,12.79088,361.1523,23.38416,19.88056,30.47865,23.57046,31.51695,18.52739,14.85864,39.61523,13.80089,16.31532,24.16389,14.67387,10.0845,17.92471,17.88489,18.08945,13.6295,17.31672
9/1/2023 6:15:00 PM,385.8885,85.87907,79.38496,7,12.77998,232.2962,18.35056,9.684055,13.92424,12.83891,22.82176,11.53262,10.17115,28.23689,10.68622,11.67075,14.68361,10.88144,7.19034,7.194678,12.94999,13.94961,9.803427,8.772727
9/1/2023 6:30:00 PM,283.7173,82.16319,78.54897,6,12.77006,170.7253,13.95955,6.917611,8.800998,7.377771,16.68694,8.907389,7.791091,19.04753,8.6665,9.20192,10.63245,8.888166,5.973636,5.675431,8.925629,10.65778,7.957,6.900709
9/1/2023 6:45:00 PM,195.7953,79.10577,77.67503,5,12.77744,123.1777,10.33978,5.808333,7.137669,6.182562,11.45401,7.418258,6.357813,9.644702,7.023334,6.657049,6.747247,7.333778,5.062444,4.694871,5.239107,6.916333,6.542333,5.7885
9/1/2023 7:00:00 PM,117.4972,76.51035,76.71692,4,12.77278,78.03316,6.554282,4.129498,4.862102,4.429391,5.629149,5.08352,4.389298,4.6334,4.746722,4.311278,4.545024,5.012873,3.580518,3.24642,3.631287,4.243111,4.473278,4.109569
9/1/2023 7:15:00 PM,63.88076,74.42741,75.93837,4,12.68135,59.93622,4.561669,3.392002,3.806342,3.620924,3.463238,3.944742,3.51,3.582636,3.730444,3.306502,3.640302,3.820624,2.867125,2.652278,2.982047,3.330222,3.512333,3.239431
9/1/2023 7:30:00 PM,26.863,73.13473,75.25735,4,12.68146,47.19314,3.253313,2.770242,3.078429,2.898409,2.811051,3.073789,2.996169,2.952605,3.02932,2.634193,2.903587,3.033073,2.195392,2.17968,2.509847,2.827787,2.937389,2.421389
9/1/2023 7:45:00 PM,8.484489,72.10017,74.79524,4,12.6895,15.69735,1.190136,1.085924,1.156404,1.131347,1.118557,1.144976,1.265818,1.124411,1.19014,0.7929156,1.112471,1.131538,0.7235522,0.7680978,0.9283755,1.121991,1.177389,0.6132222
9/1/2023 8:00:00 PM,-1.221254,70.71151,74.10554,3,12.70316,-1.174937,0.0001169306,0,0.0001666667,0.00032,0.000244898,0.0003266667,0.0005688889,0.00054,0.00054,0,0.0008066667,0,0,0,0,0.001333333,0.002,0
