Drift Creek Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station (Basic w/ Wind),Production meter AC voltage,Production meter active power,"Inverter - 1 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 2 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 3 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 4 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 5 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 6 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 7 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 8 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 9 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 10 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 11 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 12 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 13 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 14 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 15 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 16 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 17 CPS SCH100KTL-DO/US-600, Active Power","Inverter - 18 CPS SCH100KTL-DO/US-600, Active Power"
10/1/2023 6:45:00 PM,3.013095,55.68517,62.24023,3,,-0.9036356,0.1786111,0.2236667,0.2357778,0.1476667,0.3042222,0.1822222,0.1620022,0.1557222,0.1952778,0.1181111,0.1422311,0.1245,0.1757778,0.1252222,0.1501667,0.09777778,0.1006089,0.08755556
10/1/2023 7:00:00 PM,-0.05058467,52.62711,59.50525,2,,-3.119158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2023 7:15:00 PM,-0.5510305,50.75888,57.18831,3,,-3.137443,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 7:30:00 PM,-0.7140642,49.51485,55.29949,3,,-3.074167,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 7:45:00 PM,-0.9953896,48.36138,53.65367,3,,-3.379343,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 8:00:00 PM,-1.224075,47.8285,52.56649,4,,-4.063057,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 8:15:00 PM,-1.533615,46.90182,51.86562,2,,-4.107029,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 8:30:00 PM,-0.9518002,46.4991,51.40367,3,,-4.124697,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 8:45:00 PM,-1.528252,46.59067,51.0451,3,,-4.133135,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 9:00:00 PM,-0.7466687,46.06211,50.65808,3,,-4.199824,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 9:15:00 PM,-1.150674,45.42964,50.07553,2,,-4.251679,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 9:30:00 PM,-1.129335,45.32502,49.77209,1,,-4.261172,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 9:45:00 PM,-1.275599,45.23318,49.20357,3,,-4.315552,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 10:00:00 PM,-1.391873,45.54441,49.12521,3,,-4.309641,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 10:15:00 PM,-1.195513,45.48756,48.94863,3,,-4.24582,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 10:30:00 PM,-1.269875,45.43793,48.82529,3,,-4.175818,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 10:45:00 PM,-1.005685,45.29515,48.56318,4,,-4.185043,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 11:00:00 PM,-1.015068,45.24798,48.3496,4,,-4.12466,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 11:15:00 PM,-0.880998,44.8326,47.95374,4,,-4.145363,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 11:30:00 PM,-1.312775,44.60484,47.73248,4,,-4.108902,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
10/1/2023 11:45:00 PM,-1.023489,44.12334,47.41101,3,,-4.145217,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0
