Freemont Solar Center,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMIEC Inverter - A, Active Power P","TMIEC Inverter - B, Active Power P","TMIEC Inverter - C, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW
2023-08-11 11:00:00,573.4044,,909.7496,903.5392,1801.615
2023-08-11 12:00:00,615.46,,980.2917,983.1895,1911.819
2023-08-11 13:00:00,652.1119,,1013.108,1004.383,2020.03
2023-08-11 14:00:00,403.4255,,655.5038,605.9817,1250.924
2023-08-11 15:00:00,504.1607,,777.5822,760.6496,1527.963
2023-08-11 16:00:00,407.1569,,614.5948,596.8027,1223.35
2023-08-11 17:00:00,347.0975,,538.838,569.9463,1071.793
2023-08-11 18:00:00,184.3604,,270.4724,274.6909,543.8794
2023-08-11 19:00:00,37.88451,,49.06798,49.91549,102.5795
2023-08-11 20:00:00,1.676829,,0,0,-5.167114
2023-08-11 21:00:00,0,,0,0,-9.599999
2023-08-11 22:00:00,0,,0,0,-9.599999
2023-08-11 23:00:00,0,,0,0,-9.599999
2023-08-12 00:00:00,0,,0,0,-3.829333
2023-08-12 01:00:00,0,,,,0
2023-08-12 02:00:00,0,,,,0
2023-08-12 03:00:00,0,,,,0
2023-08-12 04:00:00,0,,,,0
2023-08-12 05:00:00,0,,,,0
2023-08-12 06:00:00,2.433598,,,,0
2023-08-12 07:00:00,60.74728,,,,0
2023-08-12 08:00:00,273.7657,,,,0
2023-08-12 09:00:00,499.6244,,,,0
2023-08-12 10:00:00,724.3541,,,,0
2023-08-12 11:00:00,875.4902,,,,0
2023-08-12 12:00:00,939.4731,,986.4074,988.8909,971.388
2023-08-12 13:00:00,921.3949,,1367.656,1379.802,2724.293
2023-08-12 14:00:00,938.347,,1338.931,1330.733,2654.028
2023-08-12 15:00:00,666.4307,,1059.691,1029.089,2033.585
2023-08-12 16:00:00,439.2148,,708.4156,694.317,1370.9
2023-08-12 17:00:00,255.5152,,413.0178,420.3982,817.3239
2023-08-12 18:00:00,75.47569,,128.2539,129.2732,248.5874
2023-08-12 19:00:00,8.251898,,10.01486,8.956886,16.92414
2023-08-12 20:00:00,0,,0,0,-9.599999
2023-08-12 21:00:00,0,,0,0,-9.599999
2023-08-12 22:00:00,0,,0,0,-9.599999
2023-08-12 23:00:00,0,,0,0,-9.599999
2023-08-13 00:00:00,0,,0,0,-9.599999
2023-08-13 01:00:00,0,,0,0,-9.599999
2023-08-13 02:00:00,0,,0,0,-9.599999
2023-08-13 03:00:00,0,,0,0,-9.599999
2023-08-13 04:00:00,0,,0,0,-9.599999
2023-08-13 05:00:00,0,,0,0,-9.599999
2023-08-13 06:00:00,1.908839,,0,0,-9.599999
2023-08-13 07:00:00,75.06667,,69.38689,61.91,123.0273
2023-08-13 08:00:00,279.357,,386.8653,358.3608,738.4699
2023-08-13 09:00:00,507.4799,,785.9428,772.5762,1549.416
2023-08-13 10:00:00,725.4047,,1123.142,1116.118,2227.39
2023-08-13 11:00:00,876.0893,,1332.229,1330.646,2634.8
2023-08-13 12:00:00,981.9211,,1438.101,1444.375,2857.063
2023-08-13 13:00:00,1008.901,,1450.845,1464.041,2886.246
2023-08-13 14:00:00,961.3709,,1396.945,1407.901,2774.379
2023-08-13 15:00:00,849.2383,,1267.801,1287.786,2528.721
2023-08-13 16:00:00,672.5175,,1026.864,1050.678,2065.853
2023-08-13 17:00:00,460.4655,,682.2672,718.2856,1391.979
2023-08-13 18:00:00,246.3655,,333.2636,344.1387,663.6871
2023-08-13 19:00:00,48.53522,,58.76162,60.53972,117.5985
2023-08-13 20:00:00,0.3355529,,0,0,-8.277609
2023-08-13 21:00:00,0,,0,0,-9.599999
2023-08-13 22:00:00,0,,0,0,-9.599999
2023-08-13 23:00:00,0,,0,0,-9.599999
2023-08-14 00:00:00,0,,0,0,-9.599999
2023-08-14 01:00:00,0,,0,0,-9.599999
2023-08-14 02:00:00,0,,0,0,-9.599999
2023-08-14 03:00:00,0,,0,0,-9.599999
2023-08-14 04:00:00,0,,0,0,-9.599999
2023-08-14 05:00:00,0,,0,0,-9.599999
2023-08-14 06:00:00,2.055876,,0,0,-9.599999
2023-08-14 07:00:00,64.37112,,66.69344,60.89464,114.4109
2023-08-14 08:00:00,250.8575,,358.6903,327.9047,669.6158
2023-08-14 09:00:00,491.1525,,748.9216,731.4735,1475.373
2023-08-14 10:00:00,601.2024,,986.7597,1002.16,1957.319
2023-08-14 11:00:00,532.7397,,781.1023,784.8805,1589.998
2023-08-14 12:00:00,742.5897,,1103.524,1103.374,2189.167
2023-08-14 13:00:00,1011.883,,1423.099,1429.177,2912.722
2023-08-14 14:00:00,959.5377,,1388.14,1420.844,2804.429
2023-08-14 15:00:00,803.8401,,1227.501,1235.808,2417.443
2023-08-14 16:00:00,660.7682,,1002.784,1022.917,1997.47
2023-08-14 17:00:00,428.0146,,649.5026,689.9332,1330.178
2023-08-14 18:00:00,138.6859,,188.5213,201.358,375.3209
2023-08-14 19:00:00,51.85155,,69.37215,73.38758,139.877
2023-08-14 20:00:00,0.6371976,,0,0,-7.213445
2023-08-14 21:00:00,0,,0,0,-9.599999
2023-08-14 22:00:00,0,,0,0,-9.599999
2023-08-14 23:00:00,0,,0,0,-9.599999
2023-08-15 00:00:00,0,,0,0,-9.599999
2023-08-15 01:00:00,0,,0,0,-9.599999
2023-08-15 02:00:00,0,,0,0,-9.599999
2023-08-15 03:00:00,0,,0,0,-9.599999
2023-08-15 04:00:00,0,,0,0,-9.420999
2023-08-15 05:00:00,0,,0,0,-9.178332
2023-08-15 06:00:00,1.594105,,0,0,-9.147332
2023-08-15 07:00:00,64.55441,,89.48147,86.78804,167.9602
2023-08-15 08:00:00,250.1158,,348.0161,329.1402,669.9581
2023-08-15 09:00:00,492.1341,,751.9815,730.6006,1473.302
2023-08-15 10:00:00,701.8831,,1083.768,1069.967,2137.005
2023-08-15 11:00:00,881.7241,,1334.878,1273.372,2649.348
2023-08-15 12:00:00,801.3537,,1182.14,1241.647,2379.507
2023-08-15 13:00:00,822.4415,,1229.793,1288.437,2428.707
2023-08-15 14:00:00,908.4533,,1322.111,1338.276,2698.175
2023-08-15 15:00:00,402.4594,,578.6035,642.1876,1138.894
2023-08-15 16:00:00,44.89436,,71.64386,70.0562,131.1104
2023-08-15 17:00:00,133.1884,,222.6782,223.7693,438.4001
2023-08-15 18:00:00,147.8714,,236.5932,239.4876,467.1412
2023-08-15 19:00:00,29.2576,,48.99332,48.32929,92.49934
2023-08-15 20:00:00,2.896178,,0,0,0.1006673
2023-08-15 21:00:00,0,,0,0,-9.599999
2023-08-15 22:00:00,0,,0,0,-9.599999
2023-08-15 23:00:00,0,,0,0,-9.599999
2023-08-16 00:00:00,0,,0,0,-9.599999
2023-08-16 01:00:00,0,,0,0,-9.599999
2023-08-16 02:00:00,0,,0,0,-0.6146665
