Anderson Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - WS (Amb/Mod Temp),Production meter L-N voltage,Production meter active power,"CPS SCH 125 | INV-01, AC Power Output","CPS SCH 125 | INV-02, AC Power Output","CPS SCH 125 | INV-03, AC Power Output","CPS SCH 125 | INV-04, AC Power Output","CPS SCH 125 | INV-05, AC Power Output","CPS SCH 125 | INV-06, AC Power Output","CPS SCH 125 | INV-07, AC Power Output","CPS SCH 125 | INV-08, AC Power Output","CPS SCH 125 | INV-09, AC Power Output","CPS SCH 125 | INV-10, AC Power Output","CPS SCH 125 | INV-11, AC Power Output","CPS SCH 125 | INV-12, AC Power Output","CPS SCH 125 | INV-13, AC Power Output","CPS SCH 125 | INV-14, AC Power Output","CPS SCH 125 | INV-15, AC Power Output","CPS SCH 125 | INV-16, AC Power Output"
10/2/2023 2:45:00 AM,-1.82467,55.7504,61.1436,0,7.336667,-3.06467,0,,,,,,,,,,,,,,,
10/2/2023 3:00:00 AM,-2.175,54.83035,60.9927,0,7.340557,-3.07167,0,,,,,,,,,,,,,,,
10/2/2023 3:15:00 AM,-1.493,54.02835,60.5791,0,7.344003,-3.077,0,,,,,,,,,,,,,,,
10/2/2023 3:30:00 AM,-1.59267,53.69965,60.2375,0,7.343,-3.07667,0,,,,,,,,,,,,,,,
10/2/2023 3:45:00 AM,-1.194,53.37735,60.049,0,7.34211,-3.07467,0,,,,,,,,,,,,,,,
10/2/2023 4:00:00 AM,-1.737,53.1165,59.8753,0,7.337777,-3.07067,0,,,,,,,,,,,,,,,
10/2/2023 4:15:00 AM,-1.23733,52.7805,59.5851,0,7.332557,-3.06433,0,,,,,,,,,,,,,,,
10/2/2023 4:30:00 AM,-1.516,52.70265,59.4377,0,7.33311,-3.06333,0,,,,,,,,,,,,,,,
10/2/2023 4:45:00 AM,-1.14433,52.8848,59.3771,0,7.33022,-3.06033,0,,,,,,,,,,,,,,,
10/2/2023 5:00:00 AM,-2.12733,52.7548,59.2755,0,7.30922,-3.035,0,,,,,,,,,,,,,,,
10/2/2023 5:15:00 AM,-1.204,52.33095,59.0035,0,7.32122,-3.048,0,,,,,,,,,,,,,,,
10/2/2023 5:30:00 AM,-1.76733,52.6935,58.7419,0,7.333113,-3.062,0,,,,,,,,,,,,,,,
10/2/2023 5:45:00 AM,-1.73967,52.54795,58.6859,0,7.33089,-3.06267,0,,,,,,,,,,,,,,,
10/2/2023 6:00:00 AM,-1.627,52.7539,58.5556,0,7.32922,-3.06033,0,,,,,,,,,,,,,,,
10/2/2023 6:15:00 AM,-1.65167,52.18995,58.4871,0,7.32478,-3.061,0,,,,,,,,,,,,,,,
10/2/2023 6:30:00 AM,-1.49133,51.82195,58.3808,0,7.312333,-3.04233,0,,,,,,,,,,,,,,,
10/2/2023 6:45:00 AM,-1.62367,51.8594,58.1923,0,7.322557,-3.06,0,,,,,,,,,,,,,,,
10/2/2023 7:00:00 AM,-0.757,51.7688,58.1477,0,7.340557,-3.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/2/2023 7:15:00 AM,1.4,51.9052,58.0792,0,7.361557,-0.87,0.0333333,0.103333,0.0133333,0.29,0.2,0.0266667,0.183333,0.216667,0.193333,0.226667,0.22,0.04,0.236667,0.02,0.213333,0.0266667
10/2/2023 7:30:00 AM,10.464,51.84755,58.1671,0,7.367667,17.688,1.12667,1.47667,0.983333,1.61333,1.49,1.01,1.48,1.51333,1.53667,1.47667,1.62333,0.933333,1.6,1.03333,1.55333,1.16667
10/2/2023 7:45:00 AM,28.9053,52.51495,58.302,0,7.359333,56.888,3.58333,3.15,2.87667,3.18,2.88333,2.76,2.99333,3.35,3.30333,3.60667,4.06333,4.00333,5.14,4.68,5.11333,4.39
10/2/2023 8:00:00 AM,139.635,55.06195,59.0447,0,7.349557,201.368,15.11,15.3,10.9333,9.72333,5.09667,4.21333,5.78,8.66,11.5467,16.8733,19.0533,14.8567,17.0967,14.38,15.6567,13.3567
10/2/2023 8:15:00 AM,163.435,61.83225,61.0453,0,7.374113,461.029,30.0133,34.99,30.9767,32.3667,26.56,12.4733,13.69,23.1033,32.94,37.24,36.91,28.02,31.55,27.3233,29.95,26.6867
10/2/2023 8:30:00 AM,284.308,69.29475,63.6344,0,7.37311,771.281,46.4833,53.9767,52.0233,47.1733,52.9533,44.1667,36.43,45.6733,53.54,56.3667,55.8633,42.07,48.8733,42.6967,47.93,40.87
10/2/2023 8:45:00 AM,428.337,76.4981,66.2475,0,7.38411,1083.72,63.0033,72.5233,71.53,71.0267,71.7167,72.7667,65.68,64.5667,72.57,75.1733,74.95,58.4833,66.6533,60.4267,65.97,56.2033
10/2/2023 9:00:00 AM,542.078,85.2817,68.5486,1,7.378557,1372.35,79.3267,91.38,89.8067,89.22,90.19,91.6533,91.4867,80.4867,91.1467,93.7367,93.5367,76.02,85.83,78.3467,84.3233,71.8567
10/2/2023 9:15:00 AM,665.894,92.88055,70.8383,1,7.36889,1523.83,95.1433,109.943,109.343,107.213,107.427,108.16,108.857,95.8733,88.1767,103.767,111.133,93.5967,107.49,96.11,101.963,88.2933
10/2/2023 9:30:00 AM,773.401,102.9945,73.6034,1,7.383887,1703.69,107.973,123.773,123.433,121.847,121.37,121.357,123.237,107.67,75.3467,,124.033,106.78,123.62,113.527,120.413,108.957
10/2/2023 9:45:00 AM,801.099,110.457,76.0656,1,7.388443,1751.56,112.507,125.62,125.367,124.91,124.363,124.06,125.497,111.383,75.3733,,125.277,109.443,125.26,117.293,125.133,124.86
10/2/2023 10:00:00 AM,713.42,114.001,77.4299,2,7.392664,1593.87,104.457,112.843,117.28,115.763,110.827,111.287,110.36,102.487,75.2533,,115.287,102.673,113.367,106.527,112.93,112.317
10/2/2023 10:15:00 AM,522.133,107.038,79.7036,1,7.358777,1302.44,87.23,87.8333,98.3767,97.32,84.1067,83.57,84.55,86.84,75.39,,100.717,89.24,87.5933,82.3333,86.14,83.51
